time,c1,c5,c10,c15,c20,c25,c30,c35,c40,c45,c50,c55,c60,c65,c70,c75,c80,c85,c90,c95
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018686099
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010703336,0.48430972
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000984051,0.006587715,0.020465943,0.05235753,0.105102198,0.41591963,2.034157472
20,0,0,0,0,0,0,0,0,0,0,0.002300194,0.012127314,0.037978326,0.085348789,0.21031431,0.356672489,0.531208733,0.900040699,1.47757844,3.51484132
24,0,0,0,0,0,0.00206443,0.003386499,0.006885243,0.01196453,0.041646065,0.084127032,0.128150554,0.233351428,0.462634,0.678748463,0.996305692,1.320239006,1.881081544,2.858660804,4.442271421
28,0,0,0,0,0.002391262,0.011622616,0.022382917,0.036700302,0.081226502,0.195256749,0.286230198,0.457828996,0.925587159,1.400283502,1.701825918,2.063750308,2.583993529,3.127944431,4.312253077,5.143859653
32,0,0,0,0.002691154,0.012386929,0.029899156,0.074587953,0.203547224,0.359187118,0.548595492,0.796497441,1.142344738,1.52561538,2.410071272,3.036881264,3.537193706,4.09293588,4.774526189,5.620152068,6.483922109
36,0,0,0.003209761,0.022459471,0.057308669,0.129847512,0.243988783,0.543397725,0.716013362,0.937907246,1.53764979,1.85009081,2.463053142,3.295428511,4.137571919,4.856791348,5.391511899,5.883521739,6.759645889,8.114993353
40,0,0.001160331,0.020098837,0.065418056,0.136189213,0.312046732,0.582099314,1.045665854,1.288545024,1.819596373,2.244734674,2.889470866,3.347569547,4.1456014,5.096208985,5.920693521,6.492759883,6.903191317,8.304607507,9.469120624
44,0,0.002519256,0.051188286,0.140904843,0.20580162,0.645499996,1.145103105,1.45182591,2.073196018,2.45445968,3.055123414,3.613134218,4.282429697,5.115046595,5.940433533,6.954738932,7.706626744,8.138956641,9.406190633,10.34403241
48,0.000619647,0.025815608,0.133837745,0.237304771,0.390072028,1.015336381,1.815975337,2.055410462,2.908164437,3.350276592,3.69314084,4.647806534,5.418160612,5.884258605,6.783267742,8.062093467,8.951847954,9.559893975,10.42559849,11.1624561
52,0.002736642,0.106280825,0.245107467,0.486149333,0.669186846,1.206795354,2.16008801,2.890097335,3.399035338,3.988972647,4.437818279,5.748218932,6.180668591,6.531964936,7.519416874,9.053408471,9.915394394,10.67621119,11.21826897,11.98003236
56,0.004730167,0.163981553,0.47712376,0.855024483,1.080033405,1.50602391,2.679284804,3.615107661,4.079241284,4.741921971,5.454715354,6.256324353,6.973176853,7.433468806,8.075516364,9.541283539,10.58841466,11.35658169,11.71721954,12.43846306
60,0.04218971,0.216782534,0.728322952,1.254585274,1.481035504,2.129858817,3.167132786,4.137331876,4.647242138,5.502641735,6.321572855,6.897819545,7.489557672,8.330926716,8.95417609,9.997759124,11.12053665,11.83116717,12.20716195,12.91371202
64,0.056664776,0.267613744,0.988209606,1.587557932,1.911168871,2.756296915,3.748396124,4.69059899,5.599379132,6.001492717,6.816284569,7.531607999,8.042294037,8.931277161,9.71565884,10.37562125,11.32155949,12.14426416,12.60149571,13.29740629
68,0.057736633,0.506954438,1.424834481,1.890984979,2.278815349,3.402749815,4.155009632,4.939634329,6.373576489,6.857010815,7.710660855,8.076179418,8.631950588,9.411245352,10.22813731,10.90394952,11.46663392,12.35982736,12.9323098,13.51244592
72,0.058361727,0.65444445,1.625445189,2.236540165,2.802692511,3.77839005,4.576121873,5.552404095,6.706622783,7.305539019,8.105829766,8.668101263,9.364903356,9.944664142,10.70629276,11.23436812,11.78984494,12.53191671,13.12746778,13.70361194
76,0.058361727,0.696261742,1.793491861,2.676888352,3.293251558,4.158021719,4.853466866,5.971793999,7.255792302,7.808410778,8.555412449,8.970081579,9.797325327,10.51514218,10.92226822,11.37737364,12.00956224,12.60388659,13.27740711,14.01263562
80,0.058361727,0.738221029,2.147181711,3.121978342,3.878463087,4.442162463,5.109234039,6.378869144,7.583845612,8.257845564,8.906341605,9.723704507,10.07949735,10.74117641,11.35404157,11.70183239,12.15651859,12.73361078,13.37144192,14.15470948
84,0.058361727,0.761562395,2.416361226,3.532577578,4.179962676,4.864033843,5.380208076,6.606592441,7.885197542,8.594643696,9.188230584,10.08026298,10.55887295,11.14117251,11.54031257,12.05595903,12.505973,12.94784725,13.44853833,14.24713812
88,0.058361727,0.787150773,2.586950797,4.05371434,4.648981356,5.207343551,5.792662717,7.039645887,8.189144873,8.915117003,9.404774474,10.28774641,10.82904383,11.27154961,11.6847553,12.13094418,12.66541659,13.20867025,13.45430874,14.51958605
92,0.058361727,0.797715278,2.662316366,4.353517345,4.997063217,5.548191091,5.991246863,7.620631344,8.502342176,9.24608839,9.85372079,10.36695677,11.06914623,11.40879329,11.79202064,12.3383934,12.77840987,13.30360115,13.53654269,14.54187804
96,0.058361727,0.810917169,2.816703271,4.729425761,5.287050433,5.965433203,6.380185074,7.76318682,8.904528191,9.507701083,10.08900079,10.6278099,11.28222786,11.56583863,12.02300057,12.50395827,12.90247151,13.41431625,13.67978193,14.55525079
100,0.058361727,0.837557442,3.003504157,5.06981521,5.564570466,6.19779564,6.800354352,7.76318682,9.031011336,9.646753777,10.29265803,10.79303217,11.37456878,11.69122072,12.10452332,12.52636205,13.12128357,13.43861112,13.80288075,14.70678669
104,0.058361727,0.844544317,3.0891752,5.368947191,5.859790787,6.6204704,7.172593695,8.22987713,9.266032223,9.705735739,10.46790551,10.95375852,11.46796008,11.85918058,12.12946754,12.52779415,13.23442281,13.49515426,13.81538737,14.92177612
108,0.058361727,0.857096248,3.157100925,5.612577049,6.03830233,6.620609803,7.555632279,8.352970582,9.452111157,9.866934648,10.62960348,11.24622709,11.57330851,11.93106731,12.28960163,12.60371185,13.2638411,13.51101928,13.8294228,14.98021619
112,0.058361727,0.896565727,3.219552293,5.739259107,6.202989357,6.904339168,7.849243426,8.412639064,9.569882329,9.995158183,10.7994503,11.31142562,11.61789338,12.0356154,12.3974299,12.64441754,13.28101964,13.57720715,13.87701073,15.01035458
116,0.058361727,0.927578049,3.264995776,5.801739738,6.322374937,7.220084075,8.039060961,8.669220853,9.611393911,10.05609741,10.89335872,11.35416542,11.64955379,12.08528422,12.51500832,12.6913162,13.29924642,13.58029011,13.94241715,15.02157243
120,0.058361727,0.962841641,3.313052429,5.934378502,6.430272119,7.309485883,8.245783403,8.675471962,9.673034736,10.23739737,10.95908363,11.36044071,11.69867248,12.10725175,12.53769793,12.75884064,13.3160481,13.58045542,14.0163402,15.0610257
124,0.058361727,0.982184544,3.348878269,6.04353718,6.54535646,7.353827862,8.302118088,8.985144788,9.855619076,10.43533515,11.01160133,11.46239896,11.73657205,12.11935453,12.58781483,12.82118759,13.38746579,13.59481713,14.08727861,15.07409109
128,0.058361727,1.009721707,3.377310262,6.046611572,6.683779653,7.438106074,8.372579997,9.055022016,9.934134933,10.58703954,11.08919667,11.494218,11.80989544,12.12915954,12.60168266,12.88063726,13.42317326,13.62542983,14.14263629,15.13106382
132,0.058361727,1.035447459,3.408380055,6.048225008,6.795915404,7.555614215,8.442642539,9.206770415,10.02568586,10.73376443,11.17859047,11.4948721,11.82464441,12.16784968,12.61548366,12.90597395,13.43116716,13.64255948,14.20193559,15.16568614
136,0.058361727,1.060646147,3.430112926,6.048851623,6.906351173,7.640357629,8.468227749,9.368992639,10.09484654,10.77883549,11.21214868,11.49960026,11.83682111,12.21391659,12.6244723,12.96919641,13.45136071,13.67070255,14.25647036,15.16586604
140,0.058361727,1.091720232,3.451394814,6.049126708,7.003357218,7.731134202,8.538845791,9.517861192,10.18082543,10.78645728,11.25836035,11.53095683,11.84439236,12.28390226,12.63133001,13.0343923,13.48305524,13.68189874,14.30375266,15.16604594
144,0.058361727,1.115748716,3.471365718,6.147101534,7.140816673,7.76318682,8.552131292,9.638239179,10.28932828,10.79380023,11.2903749,11.53838177,11.8554425,12.3183387,12.63489317,13.08254014,13.48591133,13.68626957,14.32922435,15.16622585
148,0.058361727,1.145557389,3.495270262,6.237982179,7.272819602,7.76318682,8.568915462,9.760402375,10.33976235,10.80544014,11.31169243,11.5692816,11.86399316,12.35878091,12.6558437,13.12373185,13.490674,13.69582862,14.35104047,15.16640575
152,0.058361727,1.164326897,3.515202617,6.244353977,7.369582368,7.76318682,8.637781489,9.774423224,10.45503074,10.81378608,11.33684998,11.61376456,11.87202092,12.39732557,12.66741063,13.1616858,13.5061511,13.70081377,14.37267272,15.16640575
156,0.058361727,1.184820363,3.533901427,6.246787824,7.385748336,7.912684801,8.664217421,9.779690571,10.68642209,10.82902346,11.36028209,11.65784557,11.88297121,12.43297582,12.67792799,13.18927505,13.54272187,13.70410248,14.39065489,15.16640575
160,0.058361727,1.206470369,3.545881063,6.253531859,7.399766083,8.002317496,8.677006458,9.784623992,10.71712713,10.9591633,11.36786742,11.66115004,11.89853349,12.45068936,12.67972258,13.23313746,13.55147625,13.71661984,14.40676224,15.16640575
164,0.058361727,1.232961618,3.566615654,6.257559645,7.409468771,8.135289104,8.763069714,9.789484647,10.72363317,11.05051818,11.44296254,11.72376377,11.94918127,12.46174347,12.68127238,13.28547636,13.55304649,13.71908864,14.42368803,15.16640575
168,0.058361727,1.26430542,3.592568683,6.267582071,7.487561764,8.202129261,8.785143419,9.794445268,10.75816764,11.10516749,11.45071049,11.75191578,12.03431407,12.47626205,12.68153618,13.31833315,13.55470905,13.75541368,14.44196297,15.17873547
172,0.058361727,1.287243089,3.612159005,6.27511827,7.567666317,8.245921056,8.786972406,9.79949852,10.80247663,11.17836632,11.48020277,11.77092975,12.04636651,12.50063021,12.68173479,13.38126758,13.5783919,13.75647844,14.45001826,15.20052803
176,0.058361727,1.30910933,3.631544553,6.283093575,7.583215175,8.303573664,8.868836361,9.803169237,10.82549628,11.25773499,11.52603727,11.79567696,12.0545432,12.50300743,12.69039637,13.40285938,13.58828122,13.77051817,14.4595644,15.20932736
180,0.058361727,1.324549817,3.649853176,6.338848128,7.599760835,8.324662294,8.940893512,9.811489186,10.83887463,11.29283575,11.52632117,11.81573016,12.06051696,12.50409289,12.69050237,13.42526512,13.59636195,13.7998259,14.46591631,15.21463496
184,0.058361727,1.342253996,3.668469892,6.340495855,7.611095019,8.324662294,8.975485421,9.849458177,10.85952993,11.29916211,11.52660341,11.82164309,12.0650973,12.50558427,12.69060837,13.42526512,13.65003134,13.851058,14.47211359,15.21815094
188,0.058361727,1.370197159,3.686897676,6.341727796,7.619529999,8.324662294,8.97713543,9.935768947,10.86756715,11.31593464,11.53091833,11.83378646,12.06821256,12.52931478,12.69071438,13.42526512,13.66348132,13.851058,14.47616471,15.22405235
192,0.058361727,1.387223441,3.711250249,6.34438563,7.624090056,8.356259839,8.981972532,9.961437473,10.88378634,11.31593464,11.54630834,11.86039783,12.07009908,12.53652927,12.69151778,13.42576328,13.67614898,13.85900585,14.5077695,15.22896518
196,0.058361727,1.416474757,3.728935684,6.345331826,7.626748254,8.478103008,8.985665,9.986201391,10.89986298,11.31593464,11.5612802,11.883353,12.07811431,12.53652927,12.69332293,13.43141346,13.69464061,13.87776105,14.61620378,15.23568242
200,0.058361727,1.445861662,3.746881975,6.346018188,7.629745504,8.496108907,8.99599246,10.08350784,10.90891853,11.31593464,11.56499957,11.89994337,12.09167516,12.53652927,12.73456807,13.43589733,13.71840291,13.88862408,14.62111716,15.23701745
204,0.058361727,1.479542703,3.764752222,6.346457987,7.631916929,8.498929536,9.019378757,10.08377916,10.91782121,11.31593464,11.57095911,11.90870344,12.09896729,12.53652927,12.75952844,13.43813634,13.72248926,13.91298816,14.62341443,15.24421982
208,0.058361727,1.504719001,3.78198887,6.346897787,7.633274085,8.500012754,9.033169099,10.08415577,10.92694481,11.31754698,11.57636984,11.91448346,12.1039989,12.53652927,12.78707742,13.44055961,13.72463626,13.92582617,14.63171354,15.24456033
212,0.058361727,1.529256003,3.799260649,6.347478371,7.633650819,8.502700458,9.043239309,10.08471856,10.93018602,11.32363695,11.5825208,11.91995166,12.10552544,12.53652927,12.80125491,13.44597103,13.72681784,13.92656386,14.64875649,15.33756876
216,0.058361727,1.554152607,3.816641241,6.348183303,7.634021577,8.5048133,9.078845907,10.08542368,10.93192155,11.36258183,11.58851276,11.92491984,12.10692304,12.53652927,12.81225472,13.44889975,13.72824336,13.92779228,14.66015539,15.41730633
220,0.058361727,1.572247815,3.837219692,6.348837984,7.634385841,8.537030113,9.130179518,10.08664631,10.93436602,11.37216249,11.59591192,11.9297126,12.10829836,12.53652927,12.82095921,13.44949913,13.72924396,13.92834369,14.67761028,15.41845273
224,0.058361727,1.593595042,3.858801695,6.34947295,7.635005282,8.553536644,9.177139759,10.08988353,10.93983061,11.37221127,11.60133924,11.93780084,12.10987516,12.53652927,12.82858229,13.45124832,13.72936462,13.92953046,14.68931574,15.41945685
228,0.058361727,1.614108204,3.872064196,6.350549614,7.635621613,8.553536644,9.205892944,10.11729655,10.9534144,11.37226004,11.60652325,11.93988408,12.11219448,12.53652927,12.83364132,13.45180952,13.7297048,13.92981872,14.70066679,15.41945685
232,0.058361727,1.628805048,3.887207145,6.352582924,7.636099749,8.553536644,9.214002395,10.14208618,10.97345279,11.37230881,11.60910996,11.94065096,12.11457727,12.53652927,12.84456774,13.45599316,13.73032624,13.93010698,14.7117992,15.41945685
236,0.058361727,1.655463779,3.90334181,6.353149543,7.636532933,8.553536644,9.219622517,10.17062775,11.0100076,11.37235758,11.61232054,11.94403812,12.11695175,12.53652927,12.8528119,13.45826636,13.73149634,13.94303009,14.72214794,15.41945685
240,0.058361727,1.67811063,3.919577559,6.35365693,7.637471479,8.553536644,9.234839085,10.20673492,11.01865894,11.37240635,11.61650931,11.94528485,12.12903734,12.53652927,12.85577535,13.45923084,13.73157091,13.9700042,14.72652249,15.41945685
244,0.058361727,1.694056014,3.93487133,6.354073959,7.637518241,8.553536644,9.252020114,10.23585941,11.01903162,11.37384508,11.62895745,11.94783616,12.13490603,12.53652927,12.86118948,13.45981824,13.73164547,13.98093434,14.72856477,15.41945685
248,0.058361727,1.719536794,3.948529636,6.354490989,7.637565003,8.553536644,9.27494094,10.25106447,11.02540024,11.3859467,11.65060853,11.94860407,12.14506993,12.53652927,12.86585144,13.46142856,13.73172003,13.98600439,14.72967626,15.41945685
252,0.058361727,1.742421,3.969683977,6.354490989,7.637611766,8.553536644,9.291711134,10.26747094,11.03551571,11.39330905,11.66249736,11.95391931,12.15517993,12.53652927,12.87039547,13.4626785,13.73179459,13.98790589,14.73136294,15.41945685
256,0.058361727,1.746193138,3.987047403,6.354490989,7.637658528,8.553536644,9.309052284,10.29751153,11.04324446,11.41066634,11.67153077,11.96226148,12.16903415,12.53652927,12.87593487,13.46446823,13.73186915,13.98976096,14.73301524,15.41945685
260,0.058361727,1.746193138,3.996704763,6.354490989,7.63770529,8.553536644,9.329651213,10.31893707,11.05003266,11.41086484,11.68473397,11.96329484,12.17943675,12.53652927,12.87944925,13.46579422,13.73194371,13.99112144,14.73442214,15.41945685
264,0.058361727,1.746193138,4.003253528,6.354490989,7.637752053,8.553536644,9.346924006,10.33931127,11.05374952,11.41106335,11.69093862,11.96506559,12.1887699,12.53652927,12.88262056,13.46680081,13.73230102,13.99581799,14.73574908,15.41945685
268,0.058361727,1.746193138,4.013137397,6.354490989,7.637798815,8.553536644,9.365776692,10.35494641,11.05551882,11.41126185,11.69394155,11.96994581,12.1966724,12.53652927,12.88457287,13.46717753,13.73273223,13.99847173,14.73797889,15.41945685
272,0.058361727,1.746193138,4.030000555,6.354490989,7.637845577,8.553536644,9.379170947,10.36973296,11.05769441,11.41300581,11.73949571,11.97302294,12.20428135,12.53652927,12.88703639,13.46758767,13.73308469,14.00042255,14.74937317,15.41945685
276,0.058361727,1.746193138,4.04471266,6.354490989,7.63789234,8.553536644,9.392473394,10.38309184,11.06807478,11.41551875,11.75746236,11.97512696,12.20638568,12.53652927,12.89141868,13.46805247,13.7333452,14.00130237,14.75595534,15.41945685
280,0.058361727,1.746193138,4.057062044,6.354490989,7.637939102,8.553536644,9.41045395,10.39225394,11.07917534,11.42031211,11.77392204,11.97687761,12.20674158,12.53652927,12.89431492,13.46856128,13.73386171,14.00438436,14.76205981,15.41945685
284,0.058361727,1.746193138,4.066608846,6.354490989,7.637985864,8.553536644,9.418919098,10.3983519,11.09200066,11.42323277,11.78030243,11.97802254,12.2068597,12.53652927,12.8989565,13.46910922,13.73406345,14.00568779,14.76810399,15.41945685
288,0.058361727,1.746193138,4.068007215,6.354490989,7.638032627,8.553536644,9.430214242,10.41330265,11.11116551,11.42843342,11.78213329,11.99291918,12.20697781,12.53652927,12.90121139,13.46976746,13.73418308,14.00718266,14.77330128,15.41945685
292,0.058361727,1.746193138,4.070903822,6.354490989,7.638079389,8.553536644,9.449925429,10.42069386,11.11927732,11.43124899,11.78420388,11.99291918,12.20709593,12.53652927,12.90333453,13.47093798,13.7343027,14.00824771,14.77940572,15.41945685
296,0.058361727,1.746193138,4.072363856,6.354490989,7.638126151,8.553536644,9.458797542,10.42774189,11.13373601,11.43285929,11.78508344,11.99291918,12.20840825,12.53652927,12.90515425,13.47130745,13.73442232,14.00853082,14.78333161,15.41945685
300,0.058361727,1.746193138,4.073526974,6.354490989,7.638172914,8.553536644,9.458797542,10.43407293,11.13769749,11.43539423,11.78682033,11.99291918,12.23640851,12.53652927,12.90533559,13.4721233,13.73457752,14.00881394,14.78632401,15.41945685
304,0.058361727,1.746193138,4.074799438,6.354490989,7.644416345,8.553536644,9.458797542,10.43640126,11.14133682,11.43588463,11.78807194,11.99291918,12.26126839,12.53652927,12.90551694,13.4732293,13.73474935,14.00913006,14.78888714,15.41945685
308,0.058361727,1.746193138,4.075150075,6.354490989,7.657278124,8.553536644,9.458797542,10.44156624,11.14356904,11.43637503,11.78992078,11.99291918,12.29248726,12.53652927,12.90569829,13.47365161,13.73492117,14.00970845,14.79176299,15.41945685
312,0.058361727,1.746193138,4.076377334,6.354490989,7.677215868,8.553536644,9.458797542,10.44794633,11.14584093,11.43751829,11.79044315,11.99291918,12.29568909,12.53652927,12.90711711,13.47502258,13.73492117,14.01024605,14.79490921,15.41945685
316,0.058361727,1.746193138,4.076768388,6.354490989,7.690779669,8.553536644,9.458797542,10.45732796,11.14729946,11.43866608,11.79214812,12.00712426,12.29577992,12.53692628,12.90727668,13.47686756,13.73492117,14.01082766,14.79665966,15.41945685
320,0.058361727,1.746193138,4.077931879,6.354490989,7.702785237,8.553536644,9.458797542,10.46574881,11.14804363,11.44112469,11.79279422,12.02036275,12.29587076,12.53715153,12.90743626,13.47735652,13.73492117,14.01185191,14.79854152,15.41945685
324,0.058361727,1.746193138,4.078902654,6.354490989,7.71337158,8.553536644,9.458797542,10.4725092,11.15729982,11.44325504,11.79355187,12.03594494,12.29596159,12.53737678,12.90759583,13.47759674,13.73492117,14.01231222,14.79968166,15.41945685
328,0.058361727,1.746193138,4.080389821,6.354490989,7.725955336,8.553536644,9.458797542,10.4774762,11.18364858,11.44371499,11.79390468,12.03646335,12.29605243,12.5475332,12.90775541,13.47783696,13.73492117,14.01257267,14.80001584,15.41945685
332,0.058361727,1.746193138,4.081330463,6.354490989,7.742387958,8.553536644,9.458797542,10.47890175,11.1847808,11.44417493,11.79450867,12.03785078,12.29614327,12.5839459,12.90782151,13.47881421,13.73492117,14.01408807,14.80109779,15.41945685
336,0.058361727,1.746193138,4.08233617,6.354490989,7.754370148,8.553536644,9.458797542,10.48111148,11.18548862,11.47817852,11.79510397,12.0380707,12.2962341,12.62316781,12.90788186,13.47926762,13.73492117,14.0159353,14.80216763,15.41945685
340,0.058361727,1.746193138,4.083125089,6.354490989,7.76521387,8.553536644,9.458797542,10.48467484,11.18607671,11.50748928,11.79536035,12.03829061,12.29632494,12.66411917,12.90794221,13.47980585,13.73492117,14.01753487,14.80308252,15.41945685
344,0.058361727,1.746193138,4.083721744,6.354490989,7.779292043,8.553536644,9.458797542,10.48760711,11.18827015,11.50748928,11.79616376,12.03851053,12.29641578,12.68410528,12.90800256,13.48051335,13.73492117,14.0192739,14.80352404,15.41945685
348,0.058361727,1.746193138,4.085511522,6.354490989,7.790891481,8.553536644,9.458797542,10.49131821,11.19002723,11.50748928,11.79671357,12.03873044,12.29653814,12.68410528,12.9080629,13.48088353,13.73492117,14.02100464,14.80414876,15.41945685
352,0.058361727,1.746193138,4.085857849,6.354490989,7.790891481,8.553536644,9.458797542,10.49669409,11.19072712,11.50748928,11.83731898,12.03895035,12.29668077,12.68410528,12.90812325,13.48128873,13.73492117,14.02305692,14.80436376,15.41945685
356,0.058361727,1.746193138,4.086705808,6.354490989,7.790891481,8.553536644,9.458797542,10.50006371,11.19212651,11.50748928,11.83861516,12.04027192,12.29682341,12.68410528,12.9081836,13.48251944,13.73492117,14.02463103,14.80560888,15.41945685
360,0.058361727,1.746193138,4.087582319,6.354490989,7.790891481,8.553536644,9.458797542,10.5058573,11.1940335,11.50748928,11.83861516,12.0405146,12.29696604,12.68410528,12.91109552,13.48450884,13.73492117,14.02703516,14.80593527,15.41945685
364,0.058361727,1.746193138,4.090398926,6.354490989,7.790891481,8.553536644,9.458797542,10.50909908,11.19520295,11.51836401,11.83861516,12.05897732,12.29710868,12.68410528,12.92491241,13.48466535,13.73492117,14.02868848,14.80628093,15.41945685
368,0.058361727,1.746193138,4.090638233,6.354490989,7.790891481,8.553536644,9.458797542,10.51336393,11.1981587,11.53563375,11.83861516,12.05897732,12.29725131,12.68410528,12.94486036,13.48482185,13.73492117,14.03270282,14.80645509,15.41945685
372,0.058361727,1.746193138,4.09087754,6.354490989,7.790891481,8.553536644,9.458797542,10.51583466,11.20002168,11.53563375,11.83861516,12.05897732,12.29739838,12.68410528,12.95597303,13.48497836,13.73492117,14.03365142,14.80662926,15.41945685
376,0.058361727,1.746193138,4.091988802,6.354490989,7.790891481,8.553536644,9.458797542,10.51732063,11.20147673,11.53563375,11.83861516,12.05897732,12.31100446,12.68410528,12.96587797,13.48513486,13.73492117,14.03499728,14.80680303,15.41945685
380,0.058361727,1.746193138,4.093823982,6.354490989,7.790891481,8.553536644,9.458797542,10.51982587,11.20210256,11.53563375,11.83861516,12.05897732,12.34469647,12.68410528,12.97369134,13.48529137,13.73492117,14.03559156,14.80697635,15.41945685
384,0.058361727,1.746193138,4.095766554,6.354490989,7.790891481,8.553536644,9.458797542,10.52116792,11.20307593,11.53563375,11.83861516,12.05897732,12.34577276,12.68410528,12.97369134,13.48632814,13.73492117,14.03718303,14.80714968,15.41945685
388,0.058361727,1.746193138,4.096248011,6.354490989,7.790891481,8.553536644,9.458797542,10.52209301,11.20413386,11.53563375,11.83861516,12.05897732,12.35072778,12.68410528,12.97369134,13.48665584,13.73492117,14.03833416,14.80724889,15.41945685
392,0.058361727,1.746193138,4.09694619,6.354490989,7.790891481,8.553536644,9.458797542,10.52530266,11.20507363,11.53563375,11.83861516,12.05897732,12.36139694,12.68410528,12.97369134,13.48726344,13.73492117,14.03913457,14.80734811,15.41945685
396,0.058361727,1.746193138,4.098163112,6.354490989,7.790891481,8.553536644,9.458797542,10.52864874,11.20507363,11.53563375,11.83861516,12.05897732,12.36705795,12.68410528,12.97369134,13.48726344,13.73492117,14.03973956,14.80734811,15.41945685
400,0.058361727,1.746193138,4.098163112,6.354490989,7.790891481,8.553536644,9.458797542,10.52864874,11.20507363,11.53563375,11.83861516,12.05897732,12.36705795,12.68410528,12.97369134,13.48726344,13.73492117,14.03973956,14.80734811,15.41945685
